date,day_x,aircraft,helicopter,tank,apc,field artillery,mrl,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile srbm system,greatest losses direction,vehicles and fuel tanks,cruise missiles,submarines,ground robotic systems,day_y,personnel,personnel*,pow,month,year,day_number
2026-06-14,1572,436,353,12020,24753,44010,1868,0,0,349165,33,1419,4288,0,,106675,4693,2,1661,1572,1382870,about,0,6,2026,0
2026-06-13,1571,436,353,12015,24739,43953,1865,0,0,347033,33,1418,4287,0,,106274,4693,2,1648,1571,1381430,about,0,6,2026,1
2026-06-12,1570,436,353,12014,24728,43865,1861,0,0,344869,33,1417,4280,0,,105850,4693,2,1636,1570,1380120,about,0,6,2026,2
2026-06-11,1569,436,353,12010,24727,43787,1859,0,0,342651,33,1416,4277,0,,105498,4693,2,1628,1569,1378820,about,0,6,2026,3
2026-06-10,1568,436,353,12004,24717,43713,1857,0,0,340531,33,1414,4267,0,,105172,4693,2,1619,1568,1377510,about,0,6,2026,4
2026-06-09,1567,436,353,12001,24710,43639,1851,0,0,338327,33,1411,4263,0,,104796,4693,2,1614,1567,1376320,about,0,6,2026,5
2026-06-08,1566,436,353,11997,24705,43564,1847,0,0,336224,33,1409,4259,0,,104414,4693,2,1607,1566,1374950,about,0,6,2026,6
2026-06-07,1565,436,353,11989,24700,43479,1844,0,0,334063,33,1407,4257,0,,104051,4693,2,1595,1565,1373620,about,0,6,2026,7
2026-06-06,1564,436,353,11983,24696,43397,1837,0,0,331818,33,1405,4253,0,,103658,4693,2,1585,1564,1372270,about,0,6,2026,8
2026-06-05,1563,436,353,11980,24684,43315,1832,0,0,329772,33,1404,4250,0,,103300,4693,2,1576,1563,1370890,about,0,6,2026,9
2026-06-04,1562,436,353,11978,24676,43247,1830,0,0,327726,33,1403,4248,0,,102971,4693,2,1562,1562,1369340,about,0,6,2026,10
2026-06-03,1561,436,353,11974,24673,43172,1826,0,0,325615,33,1403,4245,0,,102575,4693,2,1548,1561,1368040,about,0,6,2026,11
2026-06-02,1560,436,353,11969,24666,43112,1821,0,0,323762,33,1400,4241,0,,102138,4693,2,1542,1560,1366910,about,0,6,2026,12
2026-06-01,1559,436,353,11966,24659,43037,1820,0,0,322179,33,1399,4239,0,,101621,4693,2,1528,1559,1365470,about,0,6,2026,13
2026-05-31,1558,436,353,11962,24657,42987,1819,0,0,320327,33,1399,4234,0,,101237,4693,2,1519,1558,1364060,about,0,5,2026,14
2026-05-30,1557,436,353,11960,24643,42930,1813,0,0,318433,33,1398,4231,0,,100713,4693,2,1500,1557,1362500,about,0,5,2026,15
2026-05-29,1556,436,353,11958,24636,42860,1808,0,0,316652,33,1397,4227,0,,100230,4687,2,1496,1556,1361070,about,0,5,2026,16
2026-05-28,1555,436,353,11956,24625,42832,1806,0,0,314902,33,1397,4227,0,,99906,4687,2,1492,1555,1360110,about,0,5,2026,17
2026-05-27,1554,436,353,11955,24618,42790,1805,0,0,313342,33,1397,4224,0,,99645,4687,2,1485,1554,1358950,about,0,5,2026,18
2026-05-26,1553,436,353,11954,24615,42751,1804,0,0,312035,33,1397,4221,0,,99374,4687,2,1475,1553,1357950,about,0,5,2026,19
2026-05-25,1552,436,353,11953,24608,42687,1802,0,0,310245,33,1396,4218,0,,99000,4687,2,1465,1552,1356940,about,0,5,2026,20
2026-05-24,1551,436,353,11950,24603,42640,1800,0,0,308321,33,1396,4216,0,,98698,4632,2,1451,1551,1355920,about,0,5,2026,21
2026-05-23,1550,436,353,11949,24599,42579,1799,0,0,306478,33,1394,4212,0,,98406,4632,2,1444,1550,1354810,about,0,5,2026,22
2026-05-22,1549,436,353,11944,24594,42511,1798,0,0,304659,33,1390,4207,0,,98205,4632,2,1440,1549,1353860,about,0,5,2026,23
2026-05-21,1548,436,353,11943,24591,42454,1797,0,0,302787,33,1389,4207,0,,98070,4632,2,1436,1548,1352980,about,0,5,2026,24
2026-05-20,1547,436,353,11943,24586,42400,1795,0,0,301072,33,1388,4206,0,,97868,4632,2,1432,1547,1352070,about,0,5,2026,25
2026-05-19,1546,436,353,11940,24584,42340,1792,0,0,299199,33,1386,4202,0,,97600,4632,2,1426,1546,1351150,about,0,5,2026,26
2026-05-18,1545,436,353,11939,24583,42262,1792,0,0,297057,33,1386,4200,0,,97338,4628,2,1415,1545,1350010,about,0,5,2026,27
2026-05-17,1544,436,352,11938,24578,42215,1790,0,0,295454,33,1384,4196,0,,97118,4628,2,1410,1544,1348790,about,0,5,2026,28
2026-05-16,1543,436,352,11937,24574,42133,1788,0,0,293323,33,1381,4191,0,,96793,4626,2,1397,1543,1347620,about,0,5,2026,29
2026-05-15,1542,435,352,11935,24569,42085,1788,0,0,291458,33,1379,4184,0,,96540,4626,2,1388,1542,1346390,about,0,5,2026,30
2026-05-14,1541,435,352,11931,24557,42053,1787,0,0,289678,33,1379,4183,0,,96355,4585,2,1381,1541,1345240,about,0,5,2026,31
2026-05-13,1540,435,352,11928,24554,41985,1786,0,0,287359,33,1376,4181,0,,96142,4585,2,1375,1540,1344180,about,0,5,2026,32
2026-05-12,1539,435,352,11926,24553,41935,1785,0,0,285506,33,1373,4179,0,,95855,4585,2,1373,1539,1343050,about,0,5,2026,33
2026-05-11,1538,435,352,11924,24551,41863,1783,0,0,284254,33,1373,4178,0,,95710,4585,2,1371,1538,1342030,about,0,5,2026,34
2026-05-10,1537,435,352,11920,24544,41787,1782,0,0,282697,33,1373,4176,0,,95479,4585,2,1362,1537,1341110,about,0,5,2026,35
2026-05-09,1536,435,352,11920,24541,41712,1780,0,0,281208,33,1371,4173,0,,95252,4585,2,1351,1536,1340270,about,0,5,2026,36
2026-05-08,1535,435,352,11919,24538,41630,1778,0,0,279729,33,1370,4173,0,,94879,4585,2,1344,1535,1339190,about,0,5,2026,37
2026-05-07,1534,435,352,11918,24521,41539,1776,0,0,277912,33,1365,4172,0,,94545,4585,2,1336,1534,1338060,about,0,5,2026,38
2026-05-06,1533,435,352,11918,24515,41478,1775,0,0,276061,33,1363,4170,0,,94312,4585,2,1332,1533,1337170,about,0,5,2026,39
2026-05-05,1532,435,352,11917,24510,41386,1770,0,0,274030,33,1361,4170,0,,94030,4584,2,1320,1532,1336120,about,0,5,2026,40
2026-05-04,1531,435,352,11914,24507,41306,1767,0,0,272062,33,1357,4168,0,,93824,4584,2,1317,1531,1335150,about,0,5,2026,41
2026-05-03,1530,435,352,11908,24503,41193,1765,0,0,269813,33,1357,4151,0,,93556,4579,2,1306,1530,1334030,about,0,5,2026,42
2026-05-02,1529,435,352,11906,24500,41117,1763,0,0,267589,33,1357,4151,0,,93274,4579,2,0,1529,1332950,about,0,5,2026,43
